"","target_id","sample","est_counts","tpm","eff_len","len","resistance_profile","treatment"
"51","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182cTX-xx-uu-USA-xxxx-077-JB_S3",11.7054471306037,0.428622725975517,14048.0482855601,13825,"resistant","none"
"52","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182subaTX-xx-uu-USA-xxxx-077-JB_S7",19.3806091316474,0.711842568072331,14007.5230672863,13825,"resistant","Tx"
"53","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182subaTZ-xx-uu-USA-xxxx-077-JB_S10",16.1058732699902,0.591367128330465,14051.5710453024,13825,"resistant","Tz"
"54","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182subbTX-xx-uu-USA-xxxx-077-JB_S8",18.7921759943534,0.68818944454883,14009.7919829834,13825,"resistant","Tx"
"55","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182subbTZ-xx-uu-USA-xxxx-077-JB_S11",12.3048821166478,0.451872976871783,14044.9420526189,13825,"resistant","Tz"
"56","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182subcTX-xx-uu-USA-xxxx-077-JB_S9",0,0,14014.0293494874,13825,"resistant","Tx"
"57","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182subcTZ-xx-uu-USA-xxxx-077-JB_S12",4.41370056764787,0.160566572641566,14008.9102919132,13825,"resistant","Tz"
"58","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22627aTX-xx-uu-USA-xxxx-077-JB_S4",4.69919874832388,0.171830052048397,14057.4973443293,13825,"susceptible","none"
"59","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22627bTX-xx-uu-USA-xxxx-077-JB_S5",0,0,14077.1354203268,13825,"susceptible","none"
"60","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22627cTX-xx-uu-USA-xxxx-077-JB_S6",0,0,14084.7142996864,13825,"susceptible","none"
"61","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182aTX-xx-uu-USA-xxxx-077-JB_S1",2539.28969782722,99.1744882509689,13125.5443499551,14061,"resistant","none"
"62","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182bTX-xx-uu-USA-xxxx-077-JB_S2",2443.8396274213,95.2126119784417,13180.7633823462,14061,"resistant","none"
"63","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182cTX-xx-uu-USA-xxxx-077-JB_S3",973.290601524845,38.2928916045302,13074.5739221448,14061,"resistant","none"
"64","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182subaTX-xx-uu-USA-xxxx-077-JB_S7",2310.42833020244,89.9374616054419,13216.9045628486,14061,"resistant","Tx"
"65","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182subaTZ-xx-uu-USA-xxxx-077-JB_S10",2462.22344733221,95.9563917143113,13238.8828855044,14061,"resistant","Tz"
"66","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182subbTX-xx-uu-USA-xxxx-077-JB_S8",1965.78882657788,76.4624134426765,13190.2031172662,14061,"resistant","Tx"
"67","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182subbTZ-xx-uu-USA-xxxx-077-JB_S11",3285.86657391073,127.960277005614,13244.4405237379,14061,"resistant","Tz"
"68","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182subcTX-xx-uu-USA-xxxx-077-JB_S9",1818.14017922153,70.7347951029657,13263.7275590812,14061,"resistant","Tx"
"69","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22182subcTZ-xx-uu-USA-xxxx-077-JB_S12",1741.8546723287,67.1352224908136,13222.6380573349,14061,"resistant","Tz"
"70","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22627aTX-xx-uu-USA-xxxx-077-JB_S4",2195.41963611648,86.4841760564528,13048.6087779499,14061,"susceptible","none"
"71","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22627bTX-xx-uu-USA-xxxx-077-JB_S5",3085.83874959162,119.959291156199,13198.4335379144,14061,"susceptible","none"
"72","NODE_1_length_14061_cov_87.9946_g0_i0","ACS-TG22627cTX-xx-uu-USA-xxxx-077-JB_S6",1134.33908897237,44.2462745990216,13232.2523936477,14061,"susceptible","none"
"73","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182aTX-xx-uu-USA-xxxx-077-JB_S1",0.0200515585322281,0.000777175814799344,13226.1638439631,14227,"resistant","none"
"74","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182bTX-xx-uu-USA-xxxx-077-JB_S2",0.0405114188270922,0.00156660467511153,13279.4588002966,14227,"resistant","none"
"75","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182cTX-xx-uu-USA-xxxx-077-JB_S3",2071.60350142143,80.8988713124982,13172.4740449781,14227,"resistant","none"
"76","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182subaTX-xx-uu-USA-xxxx-077-JB_S7",8.59416245257238e-05,3.31994820290641e-06,13318.3409755193,14227,"resistant","Tx"
"77","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182subaTZ-xx-uu-USA-xxxx-077-JB_S10",5.34995570176379e-05,2.06869276581806e-06,13342.9536240191,14227,"resistant","Tz"
"78","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182subbTX-xx-uu-USA-xxxx-077-JB_S8",0.0313493945687895,0.00121010452314498,13291.3439501901,14227,"resistant","Tx"
"79","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182subbTZ-xx-uu-USA-xxxx-077-JB_S11",6.48881100823201e-06,2.50721338125643e-07,13348.5069720694,14227,"resistant","Tz"
"80","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182subcTX-xx-uu-USA-xxxx-077-JB_S9",70.6644726246165,2.72810851714623,13366.2878258126,14227,"resistant","Tx"
"81","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22182subcTZ-xx-uu-USA-xxxx-077-JB_S12",6.68005132875571e-05,2.55571934981092e-06,13320.5839326189,14227,"resistant","Tz"
"82","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22627aTX-xx-uu-USA-xxxx-077-JB_S4",0.000481529822936056,1.8830396348604e-05,13144.5900732305,14227,"susceptible","none"
"83","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22627bTX-xx-uu-USA-xxxx-077-JB_S5",3.69147161931818e-05,1.42448937896466e-06,13296.0723839029,14227,"susceptible","none"
"84","NODE_1_length_14227_cov_91.8517_g0_i0","ACS-TG22627cTX-xx-uu-USA-xxxx-077-JB_S6",0.074137355261825,0.00287054943431489,13330.2915236234,14227,"susceptible","none"
"85","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182aTX-xx-uu-USA-xxxx-077-JB_S1",245.211593269682,9.69990125799612,12959.2159549784,14267,"resistant","none"
